Grade/10.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00
8.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
8.9,1.0,1.0,0.9,1.0,1.0,1.0,0.0,1.0,1.0,1.0
7.9,1.0,0.0,0.9,1.0,1.0,1.0,0.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.9,1.0,1.0,0.9,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
5.9,1.0,1.0,0.9,0.0,0.0,0.0,1.0,1.0,0.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4.9,1.0,0.0,0.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
6.9,0.0,1.0,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0
8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6.9,1.0,1.0,0.9,1.0,1.0,0.0,0.0,1.0,1.0,0.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
7.9,1.0,1.0,0.9,1.0,1.0,0.0,1.0,1.0,0.0,1.0
7.65,0.92,0.79,0.9,0.74,0.72,0.79,0.56,0.95,0.69,0.56
